web-scraper-order,web-scraper-start-url,mountains-zone,mountains-zone-href,name,image-src,days,length,unevennes-up,unevennes-down,desc,image-zone-src,name-zone,desc-zone
"1644495873-213","https://entremontanas.com/zonas","<img src=""/wp-content/themes/Bigemployee-child/imagesuploads/azores.jpg"" alt=""Islas Azores"" title=""Islas Azores"" loading=""lazy"">","https://entremontanas.com/zonas/islas-azores","Isla de Faial","/wp-content/themes/Bigemployee-child/imagesuploads/faial.jpg","5","37 Km","1050","1175","Geográficamente, la isla está dominada por un gran cráter de unos 2 km de diámetro y 400 metros, espectacular Isla De Faial. La “Ilha Azul” es conocida con este sobrenombre por la gran cantidad de set...","/wp-content/themes/Bigemployee-child/imagesuploads/azores.jpg","Islas Azores","Para los amantes de la naturaleza, las Azores son el cielo en la tierra: increíbles lagos y lagunas dan forma a las asombrosas vistas sobre el océano a partir de los profundos cráteres de antiguos vol..."
"1644495887-249","https://entremontanas.com/zonas","<img src=""/wp-content/themes/Bigemployee-child/imagesuploads/collbatomontserratasc.jpg"" alt=""Excursiones cerca de Barcelona"" title=""Excursiones cerca de Barcelona"" loading=""lazy"">","https://entremontanas.com/zonas/excursiones-cerca-de-barcelona","Cala del Molí","/wp-content/themes/Bigemployee-child/imagesuploads/calamoli.jpg","1","3 Km","50","50","Vía Ferrata fácil, muy recomendable para la iniciación en estas vías, con impresionantes vistas de la Costa Brava. La Via Ferrata Cala Del Molí es una ruta bastante sencilla, aunque sí podemos destaca...","/wp-content/themes/Bigemployee-child/imagesuploads/collbatomontserratasc.jpg","Excursiones cerca de Barcelona","Mucho antes de que el hombre pensara en conquistar las montañas, las montañas ya habían conquistado al hombre.  Os presentamos unas serie de excursiones cerca de Barcelona. Principalmente estas excurs..."
"1644495864-195","https://entremontanas.com/zonas","<img src=""/wp-content/themes/Bigemployee-child/imagesuploads/mallorca.jpg"" alt=""Mallorca"" title=""Mallorca"" loading=""lazy"">","https://entremontanas.com/zonas/mallorca","El Camí des Correu","/wp-content/themes/Bigemployee-child/imagesuploads/correu.jpg","1","8 Km","320","400","Este camino real datado desde 1401, discurre entre espesos encinares y fabulosas vistas de la costa norte mallorquina. El Camí des Correu, es una antiquísima via de comunicación entre los pueblos de E...","/wp-content/themes/Bigemployee-child/imagesuploads/mallorca.jpg","Mallorca","Mucho antes de que el hombre pensara en conquistar las montañas, las montañas ya habían conquistado al hombre.  Mallorca es una isla que presenta una variedad de paisajes increíble y por lo tanto es u..."
"1644495853-163","https://entremontanas.com/zonas","<img src=""/wp-content/themes/Bigemployee-child/imagesuploads/__3_0748.jpg"" alt=""Nepal, India"" title=""Nepal, India"" loading=""lazy"">","https://entremontanas.com/zonas/nepal-india","Ladakh – Lamayuru a Chiling","/wp-content/themes/Bigemployee-child/imagesuploads/trekking_ladak.jpg","6","66 Km","3330","3515","Lamayuru a Chiling es una dura ruta que se centra principalmente en los famosos monasterios. Total de 65 km. Desniveles de 3500m .a casi 5000m. La dificultad por la Altura y el calor. En este trekking...","/wp-content/themes/Bigemployee-child/imagesuploads/__3_0748.jpg","Nepal, India","Mucho antes de que el hombre pensara en conquistar las montañas, las montañas ya habían conquistado al hombre.  El Himalaya es una cordillera situada en el continente asiático, y se extiende por los p..."
"1644495887-265","https://entremontanas.com/zonas","<img src=""/wp-content/themes/Bigemployee-child/imagesuploads/collbatomontserratasc.jpg"" alt=""Excursiones cerca de Barcelona"" title=""Excursiones cerca de Barcelona"" loading=""lazy"">","https://entremontanas.com/zonas/excursiones-cerca-de-barcelona","Font Gran – Font de Guilleumes","/wp-content/themes/Bigemployee-child/imagesuploads/fontgran.jpg","1","4 Km","350","350","Fuente de las Guilleumes en un entorno privilegiado, donde el agua nace del torrente de las Guilleumes. La Font Gran: En el cauce del torrente de las Guilleumes, en el pueblo de Monistrol, nace un man...","/wp-content/themes/Bigemployee-child/imagesuploads/collbatomontserratasc.jpg","Excursiones cerca de Barcelona","Mucho antes de que el hombre pensara en conquistar las montañas, las montañas ya habían conquistado al hombre.  Os presentamos unas serie de excursiones cerca de Barcelona. Principalmente estas excurs..."
"1644495870-205","https://entremontanas.com/zonas","<img src=""/wp-content/themes/Bigemployee-child/imagesuploads/teideasc.jpg"" alt=""Islas Canarias"" title=""Islas Canarias"" loading=""lazy"">","https://entremontanas.com/zonas/islas-canarias","Fuerteventura","/wp-content/themes/Bigemployee-child/imagesuploads/fuerteventura.jpg","7","87 Km","1100","1100","Fuerteventura posee una belleza única: paisajes totalmente desérticos, grandes planicies y maravillosos acantilados sobre el mar. Fuerteventura, con 1.658 Kilómetros cuadrados de extensión, es la segu...","/wp-content/themes/Bigemployee-child/imagesuploads/teideasc.jpg","Islas Canarias","Mucho antes de que el hombre pensara en conquistar las montañas, las montañas ya habían conquistado al hombre.  No importa a qué isla viajes. El clima, la gente, el paisaje… todo te invita a sentirte ..."
"1644495882-244","https://entremontanas.com/zonas","<img src=""/wp-content/themes/Bigemployee-child/imagesuploads/comabonaasc.jpg"" alt=""Excursiones cerca de Puigcerdà"" title=""Excursiones cerca de Puigcerdà"" loading=""lazy"">","https://entremontanas.com/zonas/excursiones-cerca-de-puigcerda","Fontviva","/wp-content/themes/Bigemployee-child/imagesuploads/fontviva1.jpg","1","6 Km","200","200","Esta travesía comienza en el pequeño pueblo de Porté-Puymorens y nos lleva al hermoso lago de Fontviva. Esta travesía comienza en el pequeño pueblo francés de Porte, situado en la carretera que lleva ...","/wp-content/themes/Bigemployee-child/imagesuploads/comabonaasc.jpg","Excursiones cerca de Puigcerdà","Mucho antes de que el hombre pensara en conquistar las montañas, las montañas ya habían conquistado al hombre.  Puigcerdà esta situada en la comarca de la Baixa Cerdanya, se sitúa en las provincias de..."
"1644495861-177","https://entremontanas.com/zonas","<img src=""/wp-content/themes/Bigemployee-child/imagesuploads/collbatomontserratasc.jpg"" alt=""Montaña de Montserrat"" title=""Montaña de Montserrat"" loading=""lazy"">","https://entremontanas.com/zonas/montana-de-montserrat","Can Massana – Refugi Vicenç Barbé","/wp-content/themes/Bigemployee-child/imagesuploads/massana.jpg","1","6 Km","200","200","Ruta que nos lleva al Refugio Agulles Vicenç Barbé a 900 metros de altura en la montaña de Montserrat. La montaña de Montserrat, Con una altura máxima de 1.236 metros sobre el nivel del mar, está a 20...","/wp-content/themes/Bigemployee-child/imagesuploads/collbatomontserratasc.jpg","Montaña de Montserrat","Mucho antes de que el hombre pensara en conquistar las montañas, las montañas ya habían conquistado al hombre.  La montaña de Montserrat, Con una altura máxima de 1.236 metros sobre el nivel del mar, ..."
"1644495905-298","https://entremontanas.com/zonas","<img src=""/wp-content/themes/Bigemployee-child/imagesuploads/tatras.jpg"" alt=""Cordillera Montes Tatras"" title=""Cordillera Montes Tatras"" loading=""lazy"">","https://entremontanas.com/zonas/cordillera-montes-tatras","Pico Giewont","/wp-content/themes/Bigemployee-child/imagesuploads/giewont.jpg","1","8 Km","700","700","Este pico está situado entre los valles de Kondratowa, Laki Małej y Strążyska cerca ciudad de Zakopane en Polonia. El Pico Giewont  es una montaña de la cordillera de los Tatras de Polonia. Se compone...","/wp-content/themes/Bigemployee-child/imagesuploads/tatras.jpg","Cordillera Montes Tatras","Mucho antes de que el hombre pensara en conquistar las montañas, las montañas ya habían conquistado al hombre.  Los Montes Tatras son una cordillera que separa Eslovaquia de Polonia, aunque solo el 30..."
"1644495915-324","https://entremontanas.com/zonas","<img src=""/wp-content/themes/Bigemployee-child/imagesuploads/genoveses.jpg"" alt=""Cabo de Gata"" title=""Cabo de Gata"" loading=""lazy"">","https://entremontanas.com/zonas/cabo-de-gata","Playa de los Genoveses – Cabo de Gata","/wp-content/themes/Bigemployee-child/imagesuploads/genoveses.jpg","1","6 Km","50","50","Esta ruta nos lleva por bellas calas y acantilados hasta la Playa de los Genoveses en El Parque Natural de Cabo de Gata-Níjar. El Parque Natural de Cabo de Gata-Níjar es el primer Parque marítimo-terr...","/wp-content/themes/Bigemployee-child/imagesuploads/genoveses.jpg","Cabo de Gata","Una de las franjas costeras de mayor belleza y riqueza ecológica del Mediterráneo occidental.  El Parque Natural de Cabo de Gata-Níjar es el primer Parque marítimo-terrestre de Andalucía.  Es un parqu..."
"1644495850-162","https://entremontanas.com/zonas","<img src=""/wp-content/themes/Bigemployee-child/imagesuploads/fajaderancun.jpg"" alt=""Ordesa y Monte Perdido"" title=""Ordesa y Monte Perdido"" loading=""lazy"">","https://entremontanas.com/zonas/ordesa-y-monte-perdido","Sorrosal","/wp-content/themes/Bigemployee-child/imagesuploads/sorrosal.jpg","1","3 Km","200","200","Sencilla vía Ferrata situada en Broto, pequeña población del pirineo aragonés, a los pies del Parque Nacional de Ordesa. Broto es un pequeño pueblo del pirineo aragonés, se encuentra a los pies del Pa...","/wp-content/themes/Bigemployee-child/imagesuploads/fajaderancun.jpg","Ordesa y Monte Perdido","Mucho antes de que el hombre pensara en conquistar las montañas, las montañas ya habían conquistado al hombre.  El Parque Nacional de Ordesa y Monte Perdido fue declaro en 1918. Su superficie comprend..."
"1644495864-197","https://entremontanas.com/zonas","<img src=""/wp-content/themes/Bigemployee-child/imagesuploads/mallorca.jpg"" alt=""Mallorca"" title=""Mallorca"" loading=""lazy"">","https://entremontanas.com/zonas/mallorca","Puig d’en Galileu","/wp-content/themes/Bigemployee-child/imagesuploads/puiggalileu.jpg","1","14 Km","680","680","Ascensión al Puig d’en Galileu, espolón norte del macizo de Massanella en la Isla de Mallorca. El Puig d’en Galileu es una montaña de Mallorca que tiene una altura de 1180 m. Pertenece al ...","/wp-content/themes/Bigemployee-child/imagesuploads/mallorca.jpg","Mallorca","Mucho antes de que el hombre pensara en conquistar las montañas, las montañas ya habían conquistado al hombre.  Mallorca es una isla que presenta una variedad de paisajes increíble y por lo tanto es u..."
"1644495867-203","https://entremontanas.com/zonas","<img src=""/wp-content/themes/Bigemployee-child/imagesuploads/pedraforcaasc.jpg"" alt=""Macizo del Pedraforca"" title=""Macizo del Pedraforca"" loading=""lazy"">","https://entremontanas.com/zonas/macizo-del-pedraforca","Vuelta al Pedraforca","/wp-content/themes/Bigemployee-child/imagesuploads/vueltapedraforca1.jpg","1","16 Km","570","570","Ruta que discurre alrededor del macizo del Pedraforca por bosques y caminos históricos como el Camí dels Bons Homes. Itinerario circular por la emblemática montaña del Pedraforca, dentro del Parque Na...","/wp-content/themes/Bigemployee-child/imagesuploads/pedraforcaasc.jpg","Macizo del Pedraforca","Mucho antes de que el hombre pensara en conquistar las montañas, las montañas ya habían conquistado al hombre.  El Pedraforca es una de las montañas más emblemáticas de Cataluña. Esta montaña tiene un..."
"1644495924-347","https://entremontanas.com/zonas","<img src=""/wp-content/themes/Bigemployee-child/imagesuploads/mulhacen1.jpg"" alt=""Andalucía Oriental"" title=""Andalucía Oriental"" loading=""lazy"">","https://entremontanas.com/zonas/andalucia-oriental","Mulhacén","/wp-content/themes/Bigemployee-child/imagesuploads/mulhacen1.jpg","2","24 Km","2000","2000","Su altura no es excepcional, pero es el pico más alto de Europa fuera del Cáucaso y los Alpes. En cualquier caso una ruta muy interesante. El Mulhacén es el pico más alto de la península Ibérica, no d...","/wp-content/themes/Bigemployee-child/imagesuploads/mulhacen1.jpg","Andalucía Oriental","Mucho antes de que el hombre pensara en conquistar las montañas, las montañas ya habían conquistado al hombre.  El relieve de Andalucía Oriental es, en su mayoría, montañoso, hallándose allí algunas l..."
"1644495901-289","https://entremontanas.com/zonas","<img src=""/wp-content/themes/Bigemployee-child/imagesuploads/sagaro1.jpg"" alt=""Costa Brava"" title=""Costa Brava"" loading=""lazy"">","https://entremontanas.com/zonas/costa-brava","Castillo de Montgrí","/wp-content/themes/Bigemployee-child/imagesuploads/montgri1.jpg","1","3 Km","370","370","Sencilla ruta al macizo del Montgrí, con visita a la fortificación militar del Castillo de Montgrí. El macizo del Montgrí es un macizo montañoso al borde del mar Mediterráneo en Cataluña. Se sitúa ent...","/wp-content/themes/Bigemployee-child/imagesuploads/sagaro1.jpg","Costa Brava","Mucho antes de que el hombre pensara en conquistar las montañas, las montañas ya habían conquistado al hombre.  La Costa Brava es el nombre asignado a la zona costera de Cataluña que empieza en la des..."
"1644495882-233","https://entremontanas.com/zonas","<img src=""/wp-content/themes/Bigemployee-child/imagesuploads/comabonaasc.jpg"" alt=""Excursiones cerca de Puigcerdà"" title=""Excursiones cerca de Puigcerdà"" loading=""lazy"">","https://entremontanas.com/zonas/excursiones-cerca-de-puigcerda","Collada Verda","/wp-content/themes/Bigemployee-child/imagesuploads/colladaverda.jpg","1","16 Km","700","700","Itinerario circular de 16 Km y un desnivel de 700 metros que se desarrolla muy suavemente. Desde el pueblo de Camprodón cogemos la carretera a Setcases i Vallter. Una vez pasada la población de Llanar...","/wp-content/themes/Bigemployee-child/imagesuploads/comabonaasc.jpg","Excursiones cerca de Puigcerdà","Mucho antes de que el hombre pensara en conquistar las montañas, las montañas ya habían conquistado al hombre.  Puigcerdà esta situada en la comarca de la Baixa Cerdanya, se sitúa en las provincias de..."
"1644495887-253","https://entremontanas.com/zonas","<img src=""/wp-content/themes/Bigemployee-child/imagesuploads/collbatomontserratasc.jpg"" alt=""Excursiones cerca de Barcelona"" title=""Excursiones cerca de Barcelona"" loading=""lazy"">","https://entremontanas.com/zonas/excursiones-cerca-de-barcelona","Canal de Cristal","/wp-content/themes/Bigemployee-child/imagesuploads/pratscadi1.jpg","1","12 Km","900","900","Este paraje es uno de los rincones más maravillosos de la Serra del Cadí-Moixeró y de las montañas catalanas. El Parque Natural de montaña del Cadí-Moixeró se creó en julio de 1983 fruto de la necesid...","/wp-content/themes/Bigemployee-child/imagesuploads/collbatomontserratasc.jpg","Excursiones cerca de Barcelona","Mucho antes de que el hombre pensara en conquistar las montañas, las montañas ya habían conquistado al hombre.  Os presentamos unas serie de excursiones cerca de Barcelona. Principalmente estas excurs..."
"1644495876-222","https://entremontanas.com/zonas","<img src=""/wp-content/themes/Bigemployee-child/imagesuploads/bulgaria.jpg"" alt=""Grecia, Bulgaria, Rumanía"" title=""Grecia, Bulgaria, Rumanía"" loading=""lazy"">","https://entremontanas.com/zonas/grecia-bulgaria-rumania","Rumanía","/wp-content/themes/Bigemployee-child/imagesuploads/rumania.jpg","4","Km","","","El Delta del Danubio ha sido incluido en el listado de la UNESCO de Reservas de la Biosfera. Rumania está dividido en tres regiones principales, la meseta de Transilvania, en el centro del país; los C...","/wp-content/themes/Bigemployee-child/imagesuploads/bulgaria.jpg","Grecia, Bulgaria, Rumanía","Mucho antes de que el hombre pensara en conquistar las montañas, las montañas ya habían conquistado al hombre.  Toda esta zona esta condicionada por la presencia de los Montes Balcanes. Estas montañas..."
"1644495882-231","https://entremontanas.com/zonas","<img src=""/wp-content/themes/Bigemployee-child/imagesuploads/comabonaasc.jpg"" alt=""Excursiones cerca de Puigcerdà"" title=""Excursiones cerca de Puigcerdà"" loading=""lazy"">","https://entremontanas.com/zonas/excursiones-cerca-de-puigcerda","Col de Puymorens – Lago de Lanós","/wp-content/themes/Bigemployee-child/imagesuploads/puymorenslanos1.jpg","1","17 Km","1100","500","Esta travesía comienza en el Col de Puymorens y nos lleva hasta el Lago de Lanós en Porté-Puymorens. Esta travesía comienza en el Col de Puymorens situado en la carretera que lleva de Puigcerdà al Pas...","/wp-content/themes/Bigemployee-child/imagesuploads/comabonaasc.jpg","Excursiones cerca de Puigcerdà","Mucho antes de que el hombre pensara en conquistar las montañas, las montañas ya habían conquistado al hombre.  Puigcerdà esta situada en la comarca de la Baixa Cerdanya, se sitúa en las provincias de..."
"1644495882-238","https://entremontanas.com/zonas","<img src=""/wp-content/themes/Bigemployee-child/imagesuploads/comabonaasc.jpg"" alt=""Excursiones cerca de Puigcerdà"" title=""Excursiones cerca de Puigcerdà"" loading=""lazy"">","https://entremontanas.com/zonas/excursiones-cerca-de-puigcerda","El Puigllançada – Els prats de la Molina","/wp-content/themes/Bigemployee-child/imagesuploads/puigllancada1.jpg","1","12 Km","650","650","El Puigllançada es una montaña de 2409m que se encuentra en el municipio de Bagà en El Berguedà. El Puigllançada es el pico que se alza por encima del ultimo telesilla de la estación de esquí de la Mo...","/wp-content/themes/Bigemployee-child/imagesuploads/comabonaasc.jpg","Excursiones cerca de Puigcerdà","Mucho antes de que el hombre pensara en conquistar las montañas, las montañas ya habían conquistado al hombre.  Puigcerdà esta situada en la comarca de la Baixa Cerdanya, se sitúa en las provincias de..."
"1644495909-303","https://entremontanas.com/zonas","<img src=""/wp-content/themes/Bigemployee-child/imagesuploads/penagolosaintro.jpg"" alt=""Castellón"" title=""Castellón"" loading=""lazy"">","https://entremontanas.com/zonas/castellon","Cabezo de las Cruces","/wp-content/themes/Bigemployee-child/imagesuploads/cabezodelascruces.jpg","1","24 Km","725","725","Con 1710 m de altitud es el segundo pico más alto de Castellón y el tercero del Valencia. La ascensión al Cabezo de las Cruces empieza en Cortes de Arenoso.  Localidad de la provincia de Castellón, en...","/wp-content/themes/Bigemployee-child/imagesuploads/penagolosaintro.jpg","Castellón","Mucho antes de que el hombre pensara en conquistar las montañas, las montañas ya habían conquistado al hombre.  Castellón es una de la provincias más montañosas de España, bañada a su vez por el mar a..."
"1644495924-341","https://entremontanas.com/zonas","<img src=""/wp-content/themes/Bigemployee-child/imagesuploads/mulhacen1.jpg"" alt=""Andalucía Oriental"" title=""Andalucía Oriental"" loading=""lazy"">","https://entremontanas.com/zonas/andalucia-oriental","El Torcal – Ruta Amarilla","/wp-content/themes/Bigemployee-child/imagesuploads/amarilla.jpg","1","3 Km","100","100","Este sendero pasa por el Hoyo de las Ventanillas y nos adentra en el Torcal Bajo en El Paraje Natural Torcal de Antequera. El Paraje Natural Torcal de Antequera, situado en la zona centro de la provin...","/wp-content/themes/Bigemployee-child/imagesuploads/mulhacen1.jpg","Andalucía Oriental","Mucho antes de que el hombre pensara en conquistar las montañas, las montañas ya habían conquistado al hombre.  El relieve de Andalucía Oriental es, en su mayoría, montañoso, hallándose allí algunas l..."
"1644495846-153","https://entremontanas.com/zonas","<img src=""/wp-content/themes/Bigemployee-child/imagesuploads/pantanodesau.jpg"" alt=""Pantano de Sau"" title=""Pantano de Sau"" loading=""lazy"">","https://entremontanas.com/zonas/pantano-de-sau","Iglesia Sant Martí de Sau a Tavertet","/wp-content/themes/Bigemployee-child/imagesuploads/tavertet1.jpg","1","13 Km","400","400","Es una de las excursiones clásicas de las Guillerias y de Collsacabara desde la Iglesia Sant Martí de Sau a Tavertet. Es una de las excursiones clásicas de las Guillerias y de Collsacabara, pero en se...","/wp-content/themes/Bigemployee-child/imagesuploads/pantanodesau.jpg","Pantano de Sau","Mucho antes de que el hombre pensara en conquistar las montañas, las montañas ya habían conquistado al hombre.  El Pantano de Sau, en el término municipal de Vilanova de Sau, y al pie de la cordillera..."
"1644495882-239","https://entremontanas.com/zonas","<img src=""/wp-content/themes/Bigemployee-child/imagesuploads/comabonaasc.jpg"" alt=""Excursiones cerca de Puigcerdà"" title=""Excursiones cerca de Puigcerdà"" loading=""lazy"">","https://entremontanas.com/zonas/excursiones-cerca-de-puigcerda","El Roc de la Calm","/wp-content/themes/Bigemployee-child/imagesuploads/elrocdelacalm1.jpg","1","6 Km","300","300","Una vez en la cima descubriremos una mesa redonda orientativa donde descubriremos la magnificencia del paisaje. Para los que no conocen la Cerdanya, este paseo por el altiplano de la Calma, una vasta ...","/wp-content/themes/Bigemployee-child/imagesuploads/comabonaasc.jpg","Excursiones cerca de Puigcerdà","Mucho antes de que el hombre pensara en conquistar las montañas, las montañas ya habían conquistado al hombre.  Puigcerdà esta situada en la comarca de la Baixa Cerdanya, se sitúa en las provincias de..."
