web-scraper-order,web-scraper-start-url,name,descpription,image-src
"1647243317-226","https://www.arbolesibericos.es/genres","Chamaecyparis lawsoniana (A. Murray) Parl.","Sin nombre común en la Península, se la conoce por el culto de ciprés de Lawson o por la castellanización de chamaeciparis o camaeciparis","https://firebasestorage.googleapis.com/v0/b/wallace-2b61a.appspot.com/o/images%2Fthumb@350_350_4l1ot3cjad8?alt=media&token=b8dc2ac5-01a2-49e5-b89c-20032766013c"
"1647243317-253","https://www.arbolesibericos.es/genres","Juniperus thurifera L.","Sabina albar,  Sabina,  Enebro","https://firebasestorage.googleapis.com/v0/b/wallace-2b61a.appspot.com/o/images%2Fthumb@350_350_e249xjfobhu.jpg?alt=media&token=79c3cfc3-9453-4d25-b511-992b78b704d5"
"1647243317-202","https://www.arbolesibericos.es/genres","Abies alba Miller","Abeto,  Pinabeto,  Avet (cat.),  Izal (eusk.)","https://firebasestorage.googleapis.com/v0/b/wallace-2b61a.appspot.com/o/images%2Fthumb@350_350_vi5a039hxb.jpg?alt=media&token=413fec3a-8492-457f-b1cc-ecdf9f534364"
"1647243317-231","https://www.arbolesibericos.es/genres","Crataegus laevigata (Poir.) DC.","Majuelo,  Espino navarro","https://firebasestorage.googleapis.com/v0/b/wallace-2b61a.appspot.com/o/images%2Fthumb@350_350_rensctlmb5.jpg?alt=media&token=51c56833-5d97-4bff-ad7c-d9d8fe413c09"
"1647243317-294","https://www.arbolesibericos.es/genres","Quercus coccifera L.","Coscoja,  Coscoll (cat.),  Garric (cat.),  Abaritza (eusk.),  Carrasco (port.)","https://firebasestorage.googleapis.com/v0/b/wallace-2b61a.appspot.com/o/images%2Fthumb@350_350_w54eflb51p.jpg?alt=media&token=86a965f2-b9e2-4b1f-9b6c-e7755c2f4178"
"1647243317-310","https://www.arbolesibericos.es/genres","Sambucus nigra L.","Saúco","https://firebasestorage.googleapis.com/v0/b/wallace-2b61a.appspot.com/o/images%2Fthumb@350_350_7imbqlyc85?alt=media&token=ee1334f8-593d-432b-89f1-e3b6e2e2542e"
"1647243317-307","https://www.arbolesibericos.es/genres","Salix caprea L.","Sauce,  Sauce capruno,  Gatsaule (cat.)","https://firebasestorage.googleapis.com/v0/b/wallace-2b61a.appspot.com/o/images%2Fthumb@350_350_erttb84cdfd.jpg?alt=media&token=9682a376-d4a5-43fe-8b55-368975fea5ea"
"1647243317-240","https://www.arbolesibericos.es/genres","Eucalyptus globulus Labill.","Eucalipto,  Eucalipto blanco,  Eucalipto azul,  Eucaliptus blau (cat.),  Eukalitua (eusk.)","https://firebasestorage.googleapis.com/v0/b/wallace-2b61a.appspot.com/o/images%2Fthumb@350_350_6hg7kvhfau8.jpg?alt=media&token=abf9ebda-2dec-4a26-8aa2-54cccac6e67d"
"1647243317-271","https://www.arbolesibericos.es/genres","Pinus pinea L.","Pino piñonero,  Pino real,  Pino doméstico,  Pi pinyer (cat.),  Piñeiro manso (gall.),  Pinheiro manso (port.)","https://firebasestorage.googleapis.com/v0/b/wallace-2b61a.appspot.com/o/images%2Fthumb@350_350_rmnmtf3hvd.jpg?alt=media&token=9d68e6ce-0152-4ed9-be62-f35378c662ce"
"1647243317-265","https://www.arbolesibericos.es/genres","Phoenix dactylifera L.","Palmera,  Palma,  Palmera datilera,  Tamareira (port.)","https://firebasestorage.googleapis.com/v0/b/wallace-2b61a.appspot.com/o/images%2Fthumb@350_350_zhpfqsjfdok.jpg?alt=media&token=06d647bd-fd07-4e3b-9745-0535e67537e5"
"1647243317-230","https://www.arbolesibericos.es/genres","Crataegus laciniata Ucria","Espino negro","https://firebasestorage.googleapis.com/v0/b/wallace-2b61a.appspot.com/o/images%2Fthumb@350_350_1tock8ujimah.jpg?alt=media&token=05fbee70-fbe4-409f-96af-ff417cf47ed6"
"1647243317-316","https://www.arbolesibericos.es/genres","Sorbus domestica L.","Serbal común,  Server (cat.),  Sorveira (port.)","https://firebasestorage.googleapis.com/v0/b/wallace-2b61a.appspot.com/o/images%2Fthumb@350_350_4x13l806e67.jpg?alt=media&token=2759f72f-eb6d-4c46-9c97-f569e611a062"
"1647243317-295","https://www.arbolesibericos.es/genres","Quercus faginea Lam.","Quejigo,  Rebollo,  Roble,  Roure de fulla petita (cat.),  Erkametza (eusk.),  Caxigo (gall.),  Carvalho-cerquinho (port.)","https://firebasestorage.googleapis.com/v0/b/wallace-2b61a.appspot.com/o/images%2Fthumb@350_350_ymi82xvnjhi.jpg?alt=media&token=4417cf19-fae9-4740-ad2e-4f02369fe421"
"1647243317-262","https://www.arbolesibericos.es/genres","Phillyrea angustifolia L.","","https://firebasestorage.googleapis.com/v0/b/wallace-2b61a.appspot.com/o/images%2Fthumb@350_350_2py31aavhyr?alt=media&token=bc68894d-e281-478d-866e-117d9ea53868"
"1647243317-325","https://www.arbolesibericos.es/genres","Ulmus glabra Huds.","Olmo de montaña,  Om (cat.),  Zumar (eusk.),  Llamagueiro (gall.)","https://firebasestorage.googleapis.com/v0/b/wallace-2b61a.appspot.com/o/images%2Fthumb@350_350_c1gkstdse9f.jpg?alt=media&token=7f6c1c9e-c506-429d-a443-c8ea2c94cc59"
"1647243317-284","https://www.arbolesibericos.es/genres","Prunus cerasifera var. atropurpurea  H. Jaeger","Cerezo japonés","https://firebasestorage.googleapis.com/v0/b/wallace-2b61a.appspot.com/o/images%2Fthumb@350_350_q1msiuqrj1?alt=media&token=aa40dc0f-de30-4200-90e3-4075fab2e161"
"1647243317-290","https://www.arbolesibericos.es/genres","Prunus padus L.","Cerezo aliso,  Cirer bord (cat.),  Gatzerí (cat.),  Otsagereziondoa (eusk.),  Pau de San Guirgoriño (gall.),  Pado (port.)","https://firebasestorage.googleapis.com/v0/b/wallace-2b61a.appspot.com/o/images%2Fthumb@350_350_m2r6sx2pt2p.jpg?alt=media&token=24753ed8-bfc9-4a3f-afc4-50a9fd4499c0"
"1647243317-222","https://www.arbolesibericos.es/genres","Catalpa bignonioides Walt.","Catalpa","https://firebasestorage.googleapis.com/v0/b/wallace-2b61a.appspot.com/o/images%2Fthumb@350_350_m58fr6z9cq.jpg?alt=media&token=6783cc27-3ff1-499e-8612-a0521523304f"
"1647243317-237","https://www.arbolesibericos.es/genres","Cydonia oblonga Miller","Membrillero,  Codonyer (cat.),  Marmeleiro (gall. y port.)","https://firebasestorage.googleapis.com/v0/b/wallace-2b61a.appspot.com/o/images%2Fthumb@350_350_pttyin3dzvh.jpg?alt=media&token=45dbb30a-4772-48b8-bec9-af75510510df"
"1647243317-323","https://www.arbolesibericos.es/genres","Tilia platyphyllos Scop.","Tilo,  Teja,  Tell (cat.),  Ezki (eusk.)","https://firebasestorage.googleapis.com/v0/b/wallace-2b61a.appspot.com/o/images%2Fthumb@350_350_r1s7xmkwb4j.jpg?alt=media&token=a9023db3-284f-44c4-8675-e4f1d156a6a2"
"1647243317-270","https://www.arbolesibericos.es/genres","Pinus pinaster Aiton","Pino rodeno,  Pino resinero,  Pino negral,  Pino marítimo,  Pinastre (cat.),  Piñeiro bravo (gall.),  Pinheiro bravo (port.)","https://firebasestorage.googleapis.com/v0/b/wallace-2b61a.appspot.com/o/images%2Fthumb@350_350_lf02tg8p1.jpg?alt=media&token=0bf332f2-bcff-4a27-b22d-8266d11a4082"
"1647243317-259","https://www.arbolesibericos.es/genres","Morus alba L.","Morera,  Morera blanca,  Marugatze zuria (eusk.),  Amoreira branca (port.)","https://firebasestorage.googleapis.com/v0/b/wallace-2b61a.appspot.com/o/images%2Fthumb@350_350_y007g58yc2c.jpg?alt=media&token=76f4d7ce-9213-42b5-8de4-a55a67de375a"
"1647243317-234","https://www.arbolesibericos.es/genres","Cupressus lusitanica Mill.","","https://firebasestorage.googleapis.com/v0/b/wallace-2b61a.appspot.com/o/images%2Fthumb@350_350_oppq74sjzjh?alt=media&token=3fb404aa-71d8-4183-a5de-cc249a147754"
"1647243317-224","https://www.arbolesibericos.es/genres","Ceratonia siliqua L.","Algarrobo,  Garrofer (cat.),  Alfarrobeira (port.)","https://firebasestorage.googleapis.com/v0/b/wallace-2b61a.appspot.com/o/images%2Fthumb@350_350_rdr8x32pljp.jpg?alt=media&token=d84a47bd-72b6-4c00-98c8-1dc6d5c13dbe"
"1647243317-273","https://www.arbolesibericos.es/genres","Pinus sylvestris L.","Pino silvestre,  Pino albar,  Pino de Valsaín,  Pi roig (cat.),  Piñeiro bravo (gall.),  Pinheiro silvestre (port.)","https://firebasestorage.googleapis.com/v0/b/wallace-2b61a.appspot.com/o/images%2Fthumb@350_350_6uaxejbxss7.jpg?alt=media&token=be342aeb-ab1d-4546-961c-099fb7e17e10"
"1647243317-306","https://www.arbolesibericos.es/genres","Salix babylonica L.","Sauce llorón,  Desmai (cat.),  Chorón (gall.),  Salgueiro chorão (port.)","https://firebasestorage.googleapis.com/v0/b/wallace-2b61a.appspot.com/o/images%2Fthumb@350_350_04zkhk2tyq1g?alt=media&token=9677e3e3-b133-4b86-9acb-90b17f0d5e7d"
"1647243317-308","https://www.arbolesibericos.es/genres","Salix fragilis L.","Sauce,  Vimetera (cat.)","https://firebasestorage.googleapis.com/v0/b/wallace-2b61a.appspot.com/o/images%2Fthumb@350_350_7wsh0wdtlna.jpg?alt=media&token=3c5d7541-bbfa-4620-9263-411bd16facb8"
"1647243317-251","https://www.arbolesibericos.es/genres","Juniperus oxycedrus L.","Enebro,  Enebro de la miera,  Cada,  Càdec (cat.),  Cedro de Espanha (port.),  Oxicedro (port.)","https://firebasestorage.googleapis.com/v0/b/wallace-2b61a.appspot.com/o/images%2Fthumb@350_350_3ny8jyqq1yv.jpg?alt=media&token=f4b60341-ea83-4575-8670-0805cc438ee5"
"1647243317-236","https://www.arbolesibericos.es/genres","Cupressus sempervirens L.","Ciprés,  Ciprés común,  Xiprer (cat.)","https://firebasestorage.googleapis.com/v0/b/wallace-2b61a.appspot.com/o/images%2Fthumb@350_350_op85jcp76bp.jpg?alt=media&token=517cd146-d1b4-4e8f-a21e-b7a0a8faec7e"
"1647243317-287","https://www.arbolesibericos.es/genres","Prunus insititia L.","Ciruelo silvestre,  Endrino grande,  Prunyoner (cat.),  Lapatxondoa (eusk.),  Cagoiçeiro (port.)","https://firebasestorage.googleapis.com/v0/b/wallace-2b61a.appspot.com/o/images%2Fthumb@350_350_kjkctxtw53.jpg?alt=media&token=664f2c27-5c21-41d4-a930-9778a5ce3c58"
"1647243317-274","https://www.arbolesibericos.es/genres","Pinus uncinata Ramond ex DC.","Pino negro,  Pino de montaña,  Pi negre (cat.)","https://firebasestorage.googleapis.com/v0/b/wallace-2b61a.appspot.com/o/images%2Fthumb@350_350_dt89xcrau5j.jpg?alt=media&token=f1325081-f2de-417b-a848-ff44ad5723a3"
"1647243317-268","https://www.arbolesibericos.es/genres","Pinus halepensis Miller","Pino carrasco,  Pino de Alepo,  Pi blanc (cat.),  Pi bord (cat.)","https://firebasestorage.googleapis.com/v0/b/wallace-2b61a.appspot.com/o/images%2Fthumb@350_350_cnz1o8067xl.jpg?alt=media&token=f8c43d76-a0e8-4a86-900f-bb79d6fdd245"
"1647243317-266","https://www.arbolesibericos.es/genres","Picea abies (L.) Karsten","Pícea,  Abeto de Navidad,  Abeto rojo","https://firebasestorage.googleapis.com/v0/b/wallace-2b61a.appspot.com/o/images%2Fthumb@350_350_g8b9h8e13sm.jpg?alt=media&token=8ff98692-f164-44cc-b689-ef9e28a7d5d4"
"1647243317-319","https://www.arbolesibericos.es/genres","Taxus baccata L.","Tejo,  Tejón,  Teix (cat.),  Hagina (eusk.),  Hagin y posiblemente agin (eusk.),  Teixo (gall.),  Teixeiro (gall.)","https://firebasestorage.googleapis.com/v0/b/wallace-2b61a.appspot.com/o/images%2Fthumb@350_350_ahv8jub7y4.jpg?alt=media&token=d2f69424-ce26-4de0-af4a-304b488d3535"
"1647243317-277","https://www.arbolesibericos.es/genres","Platanus hispanica Miller ex Münchh.","Plátano de sombra,  Plátano de paseo,  Plàtan (cat.),  Plátano (port.)","https://firebasestorage.googleapis.com/v0/b/wallace-2b61a.appspot.com/o/images%2Fthumb@350_350_9v8teta75ej?alt=media&token=850003d1-af56-4026-b903-d30c5e97fbf7"
"1647243317-248","https://www.arbolesibericos.es/genres","Ilex aquifolium L.","Acebo,  Grèvol (cat.),  Gorosti (eusk.),  Acivro (gall.),  Civro (gall.),  Azevinho (port.),  Pica-fôlha (port.)","https://firebasestorage.googleapis.com/v0/b/wallace-2b61a.appspot.com/o/images%2Fthumb@350_350_fy5bomsdwe4.jpg?alt=media&token=927db343-44f4-44ff-8a0c-c853350f9761"
"1647243317-246","https://www.arbolesibericos.es/genres","Fraxinus ornus L.","Fresno,  Fresno de flor,  Orno,  Flex (Alicante)","https://firebasestorage.googleapis.com/v0/b/wallace-2b61a.appspot.com/o/images%2Fthumb@350_350_6iobybba579.jpg?alt=media&token=16bc5708-4fcb-4f8f-b96e-89ff61bdd367"
"1647243317-272","https://www.arbolesibericos.es/genres","Pinus radiata D. Don","Pino de Monterrey,  Pino insigne","https://firebasestorage.googleapis.com/v0/b/wallace-2b61a.appspot.com/o/images%2Fthumb@350_350_7pg79v1hq8c.jpg?alt=media&token=ccd475af-ea65-44a5-97cc-e46f2c2ed61f"
"1647243317-235","https://www.arbolesibericos.es/genres","Cupressus macrocarpa  Hartw.","","https://firebasestorage.googleapis.com/v0/b/wallace-2b61a.appspot.com/o/images%2Fthumb@350_350_ap88k62sfe?alt=media&token=02003449-97cb-4942-9045-0dbb16e29ef5"
"1647243317-321","https://www.arbolesibericos.es/genres","Thuja plicata J. Don ex D. Don","Cedro rojo,  Tuya,  Tuya gigante","https://firebasestorage.googleapis.com/v0/b/wallace-2b61a.appspot.com/o/images%2Fthumb@350_350_i4qw0bsl7x.jpg?alt=media&token=125e1807-2430-4014-abba-1a14dc3b481e"
"1647243317-286","https://www.arbolesibericos.es/genres","Prunus dulcis D.A. Webb","Almendro,  Ametller (cat.),  Almendrondoa (eusk.),  Amendoeira (port.)","https://firebasestorage.googleapis.com/v0/b/wallace-2b61a.appspot.com/o/images%2Fthumb@350_350_4fsvfcbg9tz?alt=media&token=243b2992-17d4-47c0-9499-8024a52d898d"
"1647243317-216","https://www.arbolesibericos.es/genres","Betula pendula Roth","","https://firebasestorage.googleapis.com/v0/b/wallace-2b61a.appspot.com/o/images%2Fthumb@350_350_yzll4ezl1tn.jpg?alt=media&token=01b75176-e30f-4454-883d-4b1c5d1ad536"
"1647243317-304","https://www.arbolesibericos.es/genres","Salix alba L.","Sauce,  Salguera,  Mimbre,  Salze blanc (cat.),  Zume zuria (eusk.),  Salgeiro branco (port.)","https://firebasestorage.googleapis.com/v0/b/wallace-2b61a.appspot.com/o/images%2Fthumb@350_350_bjszx4eui0o.jpg?alt=media&token=06f533cb-67a0-4cf7-8d15-2f9b84d86556"
"1647243317-326","https://www.arbolesibericos.es/genres","Ulmus laevis Pallas","Sin verdaderos nombres comunes","https://firebasestorage.googleapis.com/v0/b/wallace-2b61a.appspot.com/o/images%2Fthumb@350_350_evfbo5bgih.jpg?alt=media&token=5b1ea6be-0f41-4824-b20b-1b329a48e679"
"1647243317-296","https://www.arbolesibericos.es/genres","Quercus ilex L.","Encina,  Carrasca,  Alzina (cat.),  Artea (eusk.),  Enciño (gall.),  Azinheira (port.)","https://firebasestorage.googleapis.com/v0/b/wallace-2b61a.appspot.com/o/images%2Fthumb@350_350_7k2lb17cgak.jpg?alt=media&token=d37a89a3-709b-46a9-b3fb-16bea84df7d3"
"1647243317-212","https://www.arbolesibericos.es/genres","Ailanthus altissima (Mill.) Swingle","Ailanto,  Árbol del cielo,  Ailant (cat.),  Ailantoa (eusk.)","https://firebasestorage.googleapis.com/v0/b/wallace-2b61a.appspot.com/o/images%2Fthumb@350_350_4177sk2npe4.jpg?alt=media&token=5528577f-51d0-4f38-83d8-bc4766be69c4"
"1647243317-252","https://www.arbolesibericos.es/genres","Juniperus phoenicea L.","Sabina,  Sabina mora","https://firebasestorage.googleapis.com/v0/b/wallace-2b61a.appspot.com/o/images%2Fthumb@350_350_9ueb076v44b.jpg?alt=media&token=207f926d-7733-4979-b245-16a960d014e2"
"1647243317-238","https://www.arbolesibericos.es/genres","Elaeagnus angustifolia L.","Árbol del paraíso,  Cinamomo,  Arbre del paradís (cat.)","https://firebasestorage.googleapis.com/v0/b/wallace-2b61a.appspot.com/o/images%2Fthumb@350_350_vsj47nua5em.jpg?alt=media&token=2949f897-e393-4645-a97e-8c673b0ab4e6"
"1647243317-324","https://www.arbolesibericos.es/genres","Tilia tomentosa Moench","Tilo plateado","https://firebasestorage.googleapis.com/v0/b/wallace-2b61a.appspot.com/o/images%2Fthumb@350_350_fnre6lxaq3d.jpg?alt=media&token=b921beb6-a524-47ab-a247-99cecdf8a718"
"1647243317-261","https://www.arbolesibericos.es/genres","Olea europaea L.","Olivo,  Acebuche (ejemplares silvestres),  Ullastre (cat.),  Olibondoa (eusk.),  Oliveira (gall. y port.),  Zambujeiro (port.)","https://firebasestorage.googleapis.com/v0/b/wallace-2b61a.appspot.com/o/images%2Fthumb@350_350_7m3j73l20op.jpg?alt=media&token=b22fbea1-8eae-4047-a941-04c00db21712"
"1647243317-239","https://www.arbolesibericos.es/genres","Eucalyptus camaldulensis Dehnh.","Eucalipto,  Eucalipto rojo,  Eucaliptus roig (cat.)","https://firebasestorage.googleapis.com/v0/b/wallace-2b61a.appspot.com/o/images%2Fthumb@350_350_atpuzwln2mk.jpg?alt=media&token=57241266-18a5-4fca-9b80-33c23cea441d"
"1647243317-219","https://www.arbolesibericos.es/genres","Calocedrus decurrens (Torr.) Florin","Libocedro de California,  Cedro de incienso de California,  Cedro rojo,  También la castellanización del género: calocedro","https://firebasestorage.googleapis.com/v0/b/wallace-2b61a.appspot.com/o/images%2Fthumb@350_350_pi2l25quz7.jpg?alt=media&token=8c55702e-1b61-4fa2-b79b-c2dd9b3981ae"
"1647243317-249","https://www.arbolesibericos.es/genres","Juglans regia L.","Nogal,  Noguera (cat.),  Intxaurrondo (eusk.),  Giltzaurra (eusk.),  Nogueira (gall. y port.)","https://firebasestorage.googleapis.com/v0/b/wallace-2b61a.appspot.com/o/images%2Fthumb@350_350_lb6lp2j3mo.jpg?alt=media&token=40039e35-fe7b-47eb-924f-7dfc401d3fe1"
"1647243317-292","https://www.arbolesibericos.es/genres","Punica granatum L.","Granado,  Magraner (cat.),  Romeira (port.),  Romanzeira (port.)","https://firebasestorage.googleapis.com/v0/b/wallace-2b61a.appspot.com/o/images%2Fthumb@350_350_va2rigk38n.jpg?alt=media&token=0ea89645-38f1-433f-9bfa-88b9178e0f05"
"1647243317-313","https://www.arbolesibericos.es/genres","Sophora japonica L.","Sófora,  Acacia del Japón,  Sòfora (cat.),  Sasiarkazia japoniarra (eusk.),  Acácia do Japâo (port.)","https://firebasestorage.googleapis.com/v0/b/wallace-2b61a.appspot.com/o/images%2Fthumb@350_350_x0s58v4jqq.jpg?alt=media&token=a206e8c7-5e61-46f7-8bd8-a5f817715da4"
"1647243317-320","https://www.arbolesibericos.es/genres","Tetraclinis articulata (Vahl) Masters","Sabina,  Ciprés de Cartagena,  O el nombre árabe de araar","https://firebasestorage.googleapis.com/v0/b/wallace-2b61a.appspot.com/o/images%2Fthumb@350_350_9ngosep5m6t.jpg?alt=media&token=603a4820-02e6-4d79-bb98-c8f9af5b8c09"
"1647243317-209","https://www.arbolesibericos.es/genres","Acer platanoides L.","Acirón,  Arce real,  Erable, blada (cat.),  Astigar zorrotza (eusk.)","https://firebasestorage.googleapis.com/v0/b/wallace-2b61a.appspot.com/o/images%2Fthumb@350_350_yyvdl0h1qqm.jpg?alt=media&token=dd1e59d4-4365-4787-a504-48627981c8a1"
"1647243317-315","https://www.arbolesibericos.es/genres","Sorbus aucuparia L.","Serbal de cazadores,  Moixera de guilla (cat.),  Capudre (gall.),  Escronabois (gall.),  Tramazeira (port.),  Cornogodinho (port.)","https://firebasestorage.googleapis.com/v0/b/wallace-2b61a.appspot.com/o/images%2Fthumb@350_350_a9tzu6xelb.jpg?alt=media&token=586f4feb-513d-411c-9f2e-be21a6c78c1f"
"1647243317-285","https://www.arbolesibericos.es/genres","Prunus domestica L.","Ciruelo silvestre,  Cirolero,  Prunyoner (cat.),  Aranondo (eusk.),  Ameixeira (gall.),  Abrunheiro (port.)","https://firebasestorage.googleapis.com/v0/b/wallace-2b61a.appspot.com/o/images%2Fthumb@350_350_9j1knd1mkl6.jpg?alt=media&token=2931b750-da8e-43d3-bba4-b0621cac10e1"
"1647243317-233","https://www.arbolesibericos.es/genres","Cupressus arizonica E. L. Greene","Ciprés de Arizona,  Arizónica","https://firebasestorage.googleapis.com/v0/b/wallace-2b61a.appspot.com/o/images%2Fthumb@350_350_ojl7crw927.jpg?alt=media&token=53a39064-bc23-44eb-8235-15e97646dd9b"
"1647243317-210","https://www.arbolesibericos.es/genres","Acer pseudoplatanus L.","Arce,  Falso plátano,  Plágano,  Askar (cat.),  Blada (cat.),  Plàtan fals (cat.),  Ostartx (eusk.),  Pradairo (gall.),  Plátano bastardo (port.)","https://firebasestorage.googleapis.com/v0/b/wallace-2b61a.appspot.com/o/images%2Fthumb@350_350_q21ao692x5n.jpg?alt=media&token=3bc4048e-5b41-4334-95a4-87c31c8adeca"
"1647243317-309","https://www.arbolesibericos.es/genres","Salix triandra L.","Sarga,  Sarga negra,  Sauce almendro,  Salze (cat.),  Saule (cat.)","https://firebasestorage.googleapis.com/v0/b/wallace-2b61a.appspot.com/o/images%2Fthumb@350_350_doub6fw4ggh.jpg?alt=media&token=17d3d0e8-f739-4862-9b7c-336122e604b9"
"1647243317-312","https://www.arbolesibericos.es/genres","Sequoiadendron giganteum (Lindl.) Buchh.","Secuoya","https://firebasestorage.googleapis.com/v0/b/wallace-2b61a.appspot.com/o/images%2Fthumb@350_350_ujixbj5mas.jpg?alt=media&token=1dc0b936-7aa8-4f69-b59b-6c0ef521cf18"
"1647243317-225","https://www.arbolesibericos.es/genres","Cercis siliquastrum L.","Árbol del amor,  Árbol de Judea,  Árbol de Judas,  Arbre de l'amor (cat.),  Árvore-da-Judeia (port.)","https://firebasestorage.googleapis.com/v0/b/wallace-2b61a.appspot.com/o/images%2Fthumb@350_350_16uv5hwzrwz.jpg?alt=media&token=4929cc49-c87f-45c0-8910-88c6ad8f4e9a"
"1647243317-322","https://www.arbolesibericos.es/genres","Tilia cordata Mill.","Tilo,  Teja,  Tell (cat.),  Ezki (eusk.)","https://firebasestorage.googleapis.com/v0/b/wallace-2b61a.appspot.com/o/images%2Fthumb@350_350_pu2cych7lt.jpg?alt=media&token=960a4699-9673-44ef-8a68-391e74bd9140"
